Event,Time,Elapsed,Sequence,Thermal Runaway
Ignition,9:11:40,,1,N
Venting,9:32:24,,2,N
Smoke Detectors,9:42:27,,3,N
Thermal Runaway,9:31:00,,4,N
Sprinkler,9:41:43,,5,N
Deflagration,10:13:02,,8,N
Sprinklers Off,10:47:29,,10,N
"Initiating Unit, Module 4",10:11:39,0:59:59,6,Y
"Initiating Unit, Module 5",10:12:13,1:00:33,7,Y
"Initiating Unit, Module 6",10:23:25,1:11:45,9,Y
"Initiating Unit, Module 7",10:54:38,1:42:58,11,Y
"Initiating Unit, Module 8",11:15:29,2:03:49,12,Y
"Left Unit, Module 8",11:24:46,2:13:06,13,Y
"Initiating Unit, Module 9",11:31:27,2:19:47,14,Y
